Categorias;Qtde de Reclamações
Eletrodomésticos;14730
Móveis em Geral;11423
Não Encontrei meu Problema;7958
Celulares e Smartphones;7435
Eletroeletrônicos;5237
Não Categorizado;4150
Problemas com o Atendimento;2326
Informática;1940
Cartões de Crédito;1921
Colchões;1852
