"Time","Magazine Luiza","MAGALU"
"2020-12-27",58,11
"2021-01-03",100,20
"2021-01-10",67,14
"2021-01-17",56,12
"2021-01-24",52,12
"2021-01-31",54,12
"2021-02-07",55,12
"2021-02-14",54,12
"2021-02-21",49,11
"2021-02-28",53,11
"2021-03-07",60,14
"2021-03-14",58,13
"2021-03-21",55,13
"2021-03-28",51,12
"2021-04-04",56,12
"2021-04-11",61,16
"2021-04-18",55,15
"2021-04-25",54,14
"2021-05-02",62,15
"2021-05-09",56,16
"2021-05-16",52,14
"2021-05-23",54,15
"2021-05-30",55,15
"2021-06-06",57,14
"2021-06-13",55,14
"2021-06-20",51,14
"2021-06-27",54,13
"2021-07-04",63,18
"2021-07-11",62,18
"2021-07-18",54,17
"2021-07-25",54,16
"2021-08-01",54,16
"2021-08-08",49,14
"2021-08-15",53,16
"2021-08-22",46,14
"2021-08-29",48,14
"2021-09-05",47,15
"2021-09-12",49,15
"2021-09-19",52,16
"2021-09-26",48,15
"2021-10-03",54,16
"2021-10-10",50,15
"2021-10-17",49,14
"2021-10-24",45,14
"2021-10-31",50,15
"2021-11-07",55,18
"2021-11-14",57,20
"2021-11-21",87,31
"2021-11-28",58,20
"2021-12-05",53,18
"2021-12-12",53,17
"2021-12-19",47,15
"2021-12-26",42,14
