"Region","Magazine Luiza","MAGALU"
"State of Santa Catarina",84,16
"State of Minas Gerais",83,17
"State of Rio Grande do Sul",82,18
"State of Alagoas",81,19
"State of Bahia",81,19
"State of Pernambuco",81,19
"State of Paraná",80,20
"State of Paraíba",79,21
"State of Sergipe",79,21
"State of Goiás",78,22
"State of Mato Grosso do Sul",78,22
"State of Rio Grande do Norte",78,22
"State of São Paulo",78,22
"State of Tocantins",77,23
"State of Maranhão",76,24
"State of Ceará",75,25
"State of Mato Grosso",75,25
"State of Piauí",74,26
"State of Rondônia",74,26
"State of Roraima",74,26
"State of Amazonas",73,27
"State of Espírito Santo",73,27
"State of Pará",72,28
"State of Acre",71,29
"Federal District",69,31
"State of Rio de Janeiro",69,31
"State of Amapá",68,32
