"Region","Magazine Luiza","MAGALU"
"State of Alagoas",95,5
"State of Bahia",95,5
"State of Paraíba",95,5
"State of Rio Grande do Norte",95,5
"State of Rio Grande do Sul",95,5
"State of Santa Catarina",95,5
"State of Minas Gerais",94,6
"State of Mato Grosso do Sul",94,6
"State of Pernambuco",94,6
"State of Piauí",94,6
"State of Paraná",94,6
"State of Roraima",94,6
"State of Sergipe",94,6
"State of São Paulo",94,6
"State of Acre",93,7
"State of Ceará",93,7
"State of Goiás",93,7
"State of Maranhão",93,7
"State of Mato Grosso",93,7
"State of Tocantins",93,7
"State of Amapá",92,8
"State of Espírito Santo",92,8
"State of Rio de Janeiro",92,8
"State of Rondônia",92,8
"Federal District",91,9
"State of Amazonas",90,10
"State of Pará",90,10
