"Time","Magazine Luiza","MAGALU"
"2017-12-31",87,1
"2018-01-07",51,0
"2018-01-14",39,0
"2018-01-21",34,0
"2018-01-28",32,0
"2018-02-04",34,0
"2018-02-11",35,0
"2018-02-18",33,0
"2018-02-25",33,0
"2018-03-04",36,0
"2018-03-11",40,0
"2018-03-18",35,0
"2018-03-25",32,0
"2018-04-01",35,0
"2018-04-08",35,0
"2018-04-15",35,0
"2018-04-22",35,1
"2018-04-29",38,1
"2018-05-06",42,1
"2018-05-13",36,1
"2018-05-20",31,0
"2018-05-27",31,1
"2018-06-03",35,1
"2018-06-10",34,1
"2018-06-17",33,1
"2018-06-24",32,1
"2018-07-01",34,1
"2018-07-08",35,1
"2018-07-15",32,1
"2018-07-22",32,1
"2018-07-29",36,1
"2018-08-05",38,1
"2018-08-12",32,1
"2018-08-19",32,1
"2018-08-26",33,1
"2018-09-02",35,1
"2018-09-09",44,1
"2018-09-16",35,1
"2018-09-23",35,1
"2018-09-30",33,1
"2018-10-07",32,1
"2018-10-14",35,1
"2018-10-21",32,1
"2018-10-28",36,1
"2018-11-04",42,1
"2018-11-11",45,1
"2018-11-18",100,3
"2018-11-25",49,1
"2018-12-02",44,1
"2018-12-09",42,1
"2018-12-16",45,1
"2018-12-23",37,1
"2018-12-30",80,2
