"Time","magazine luiza","magalu"
"2025-12-28",61,32
"2026-01-04",100,70
"2026-01-11",65,42
"2026-01-18",53,33
"2026-01-25",50,31
"2026-02-01",53,33
"2026-02-08",52,32
"2026-02-15",51,32
"2026-02-22",49,32
"2026-03-01",54,35
"2026-03-08",56,37
"2026-03-15",45,35
"2026-03-22",41,32
"2026-03-29",43,32
"2026-04-05",45,34
"2026-04-12",41,31
"2026-04-19",41,31
"2026-04-26",40,30
"2026-05-03",51,39
"2026-05-10",44,34
"2026-05-17",42,34
"2026-05-24",38,36
"2026-05-31",44,43
"2026-06-07",43,40
"2026-06-14",34,35
"2026-06-21",34,33
"2026-06-28",36,36
"2026-07-05",41,40
"2026-07-12",38,39
"2026-07-19",36,38
"2026-07-26",35,38
"2026-08-02",36,39
"2026-08-09",37,39
"2026-08-16",37,39
"2026-08-23",31,35
"2026-08-30",27,30
