"Region","Magazine Luiza","MAGALU"
"State of Rio Grande do Sul",78,22
"State of Alagoas",77,23
"State of Bahia",77,23
"State of Minas Gerais",76,24
"State of Pernambuco",76,24
"State of Paraíba",75,25
"State of Santa Catarina",75,25
"State of Sergipe",74,26
"State of São Paulo",74,26
"State of Mato Grosso do Sul",73,27
"State of Paraná",73,27
"State of Piauí",72,28
"State of Tocantins",72,28
"State of Goiás",71,29
"State of Rio Grande do Norte",71,29
"State of Ceará",69,31
"State of Maranhão",69,31
"State of Mato Grosso",68,32
"State of Rondônia",67,33
"State of Pará",66,34
"State of Acre",65,35
"State of Espírito Santo",65,35
"State of Amapá",64,36
"State of Rio de Janeiro",64,36
"State of Roraima",63,37
"State of Amazonas",62,38
"Federal District",61,39
