"Region","Magazine Luiza","MAGALU"
"State of Minas Gerais",99,1
"State of Santa Catarina",99,1
"State of Acre",98,2
"State of Alagoas",98,2
"State of Bahia",98,2
"State of Ceará",98,2
"State of Mato Grosso do Sul",98,2
"State of Mato Grosso",98,2
"State of Paraíba",98,2
"State of Pernambuco",98,2
"State of Piauí",98,2
"State of Paraná",98,2
"State of Rio de Janeiro",98,2
"State of Rio Grande do Norte",98,2
"State of Rio Grande do Sul",98,2
"State of Sergipe",98,2
"State of São Paulo",98,2
"State of Amazonas",97,3
"Federal District",97,3
"State of Espírito Santo",97,3
"State of Goiás",97,3
"State of Maranhão",97,3
"State of Pará",97,3
"State of Rondônia",97,3
"State of Tocantins",97,3
"State of Amapá",96,4
"State of Roraima",96,4
