"Time","Magazine Luiza","MAGALU"
"2023-01-01",100,35
"2023-01-08",66,27
"2023-01-15",53,22
"2023-01-22",53,21
"2023-01-29",53,20
"2023-02-05",51,20
"2023-02-12",49,19
"2023-02-19",49,18
"2023-02-26",52,19
"2023-03-05",52,21
"2023-03-12",53,22
"2023-03-19",49,18
"2023-03-26",46,18
"2023-04-02",46,18
"2023-04-09",48,19
"2023-04-16",47,18
"2023-04-23",44,17
"2023-04-30",48,17
"2023-05-07",52,20
"2023-05-14",44,18
"2023-05-21",41,17
"2023-05-28",42,17
"2023-06-04",47,18
"2023-06-11",46,18
"2023-06-18",44,18
"2023-06-25",43,17
"2023-07-02",52,20
"2023-07-09",51,20
"2023-07-16",47,18
"2023-07-23",43,17
"2023-07-30",45,17
"2023-08-06",50,18
"2023-08-13",46,18
"2023-08-20",40,16
"2023-08-27",40,16
"2023-09-03",45,18
"2023-09-10",44,21
"2023-09-17",44,18
"2023-09-24",46,18
"2023-10-01",47,19
"2023-10-08",50,18
"2023-10-15",45,17
"2023-10-22",39,16
"2023-10-29",48,19
"2023-11-05",54,22
"2023-11-12",69,29
"2023-11-19",87,40
"2023-11-26",51,24
"2023-12-03",53,22
"2023-12-10",60,24
"2023-12-17",56,22
"2023-12-24",47,18
"2023-12-31",100,36
