Produtos ou Serviços;Qtde de Reclamações
Outro Tipo de Produto/Serviço;102447
Móveis;61838
Smartphone;52983
Celular;40070
TV;36440
Entrega;32336
Geladeira-Refrigeradores;28632
Fogão/Forno;23437
Lavadora de Roupas e Tanquinho;22016
Notebooks;16815
