"Time","Magazine Luiza","MAGALU"
"2018-12-30",74,2
"2019-01-06",46,1
"2019-01-13",38,1
"2019-01-20",34,1
"2019-01-27",33,1
"2019-02-03",33,1
"2019-02-10",30,1
"2019-02-17",30,1
"2019-02-24",29,1
"2019-03-03",31,1
"2019-03-10",35,1
"2019-03-17",33,1
"2019-03-24",32,1
"2019-03-31",33,1
"2019-04-07",35,2
"2019-04-14",32,1
"2019-04-21",31,2
"2019-04-28",37,2
"2019-05-05",42,2
"2019-05-12",34,2
"2019-05-19",34,2
"2019-05-26",33,2
"2019-06-02",33,2
"2019-06-09",33,2
"2019-06-16",34,2
"2019-06-23",35,2
"2019-06-30",37,3
"2019-07-07",42,3
"2019-07-14",38,3
"2019-07-21",36,2
"2019-07-28",35,2
"2019-08-04",39,2
"2019-08-11",36,3
"2019-08-18",34,3
"2019-08-25",35,3
"2019-09-01",37,3
"2019-09-08",42,3
"2019-09-15",37,3
"2019-09-22",37,3
"2019-09-29",37,3
"2019-10-06",37,3
"2019-10-13",36,3
"2019-10-20",34,3
"2019-10-27",38,3
"2019-11-03",45,4
"2019-11-10",47,4
"2019-11-17",49,4
"2019-11-24",100,12
"2019-12-01",45,4
"2019-12-08",41,4
"2019-12-15",39,3
"2019-12-22",38,3
"2019-12-29",86,9
