Categorias;Qtde de Reclamações
Consórcios;3230
Não encontrei meu problema;266
Não Categorizado;144
Problema com o Atendimento;130
Financeiras;69
Problemas na loja;17
Eletrodomésticos;5
Celulares e Smartphones;5
Móveis em Geral;4
Eletroeletrônicos;3
