"Region","Magazine Luiza","MAGALU"
"State of Alagoas",87,13
"State of Rio Grande do Sul",87,13
"State of Santa Catarina",87,13
"State of Minas Gerais",86,14
"State of Paraíba",86,14
"State of Rio Grande do Norte",86,14
"State of Sergipe",86,14
"State of Bahia",85,15
"State of Pernambuco",85,15
"State of Mato Grosso do Sul",84,16
"State of Paraná",84,16
"State of São Paulo",84,16
"State of Mato Grosso",83,17
"State of Piauí",83,17
"State of Goiás",82,18
"State of Tocantins",82,18
"State of Ceará",81,19
"State of Rondônia",81,19
"State of Maranhão",80,20
"State of Espírito Santo",78,22
"State of Rio de Janeiro",77,23
"State of Amazonas",76,24
"State of Acre",75,25
"Federal District",75,25
"State of Roraima",75,25
"State of Pará",73,27
"State of Amapá",71,29
