"Time","Magazine Luiza","MAGALU"
"2019-12-29",100,10
"2020-01-05",59,6
"2020-01-12",46,4
"2020-01-19",40,3
"2020-01-26",40,4
"2020-02-02",40,4
"2020-02-09",41,4
"2020-02-16",39,4
"2020-02-23",39,4
"2020-03-01",39,3
"2020-03-08",43,5
"2020-03-15",38,5
"2020-03-22",40,8
"2020-03-29",48,12
"2020-04-05",50,12
"2020-04-12",60,12
"2020-04-19",57,13
"2020-04-26",57,14
"2020-05-03",71,14
"2020-05-10",64,12
"2020-05-17",66,12
"2020-05-24",66,14
"2020-05-31",69,14
"2020-06-07",65,13
"2020-06-14",61,12
"2020-06-21",57,11
"2020-06-28",63,12
"2020-07-05",62,12
"2020-07-12",64,12
"2020-07-19",56,11
"2020-07-26",55,12
"2020-08-02",61,12
"2020-08-09",57,11
"2020-08-16",51,11
"2020-08-23",54,13
"2020-08-30",50,10
"2020-09-06",54,10
"2020-09-13",48,9
"2020-09-20",54,12
"2020-09-27",49,10
"2020-10-04",52,10
"2020-10-11",46,10
"2020-10-18",42,9
"2020-10-25",44,9
"2020-11-01",53,11
"2020-11-08",57,12
"2020-11-15",48,11
"2020-11-22",97,25
"2020-11-29",56,12
"2020-12-06",50,10
"2020-12-13",47,11
"2020-12-20",42,9
"2020-12-27",42,8
