Desempenho;Reputação;Nota Média;Reclamações Recebidas;Reclamações Respondidas;Aguardando Resposta;Reclamações Resolvidas;Voltariam a fazer negócio;Reclamações Avaliadas;Nota média do consumidor;Tempo médio de Resposta;Período  considerado
2024;ÓTIMA;8,4;10024;0,989;98;0,897;0,749;4774;7,42;15 dias e 18 horas;01/01/2024 a 31/12/2024
2025;ÓTIMA;8,3;8898;0,993;59;0,899;0,735;3753;7,22;14 dias e 8 horas;01/01/2025 a 31/12/2025
2026;RA1000;8,7;3564;0,998;2;0,943;0,779;1571;7,85;6 dias e 12 horas;01/02/2026 a 31/07/2026
Geral;RA1000;8,4;27330;0,988;180;0,902;0,744;12090;7,36;13 dias e 11 horas;31/08/2023 a 30/08/2026
