Desempenho;Reputação;Nota Média;Reclamações Recebidas;Reclamações Respondidas;Aguardando Resposta;Reclamações Resolvidas;Voltariam a fazer negócio;Reclamações Avaliadas;Nota média do consumidor;Tempo médio de Resposta;Período  considerado
2024;ÓTIMA;8,1;11099;0,967;145;0,894;0,711;6330;6,89;10 dias e 3 horas;01/01/2024 a 31/12/2024
2025;RA1000;8,3;11098;0,974;87;0,914;0,736;6376;7,03;9 dias e 16 horas;01/01/2025 a 31/12/2025
2026;RA1000;8,2;5767;0,945;59;0,906;0,741;2749;7,07;10 dias e 23 horas;01/02/2026 a 31/07/2026
Geral;ÓTIMA;8,2;33579;0,959;336;0,904;0,722;17980;6,97;9 dias e 22 horas;31/08/2023 a 30/08/2026
