"Region","magazine luiza","magalu"
"State of Minas Gerais",71,29
"State of Rio Grande do Sul",70,30
"State of Santa Catarina",70,30
"State of Bahia",69,31
"State of Paraíba",69,31
"State of Alagoas",68,32
"State of Mato Grosso do Sul",68,32
"State of Pernambuco",68,32
"State of Paraná",68,32
"State of Sergipe",68,32
"State of Goiás",66,34
"State of Rio Grande do Norte",66,34
"State of São Paulo",66,34
"State of Piauí",64,36
"State of Ceará",63,37
"State of Maranhão",62,38
"State of Tocantins",62,38
"State of Mato Grosso",60,40
"State of Acre",59,41
"State of Rondônia",57,43
"State of Roraima",57,43
"State of Amazonas",56,44
"State of Espírito Santo",56,44
"State of Rio de Janeiro",56,44
"State of Amapá",53,47
"Federal District",53,47
"State of Pará",53,47
