Problemas;Qtde de Reclamações
Atraso na entrega;222846
Produto não recebido;133254
Estorno do valor pago;109316
Produto com defeito;63034
Outro problema;58167
Troca-devolução de produto;54579
Propaganda enganosa;35343
Produto errado;28787
Problemas na finalização da compra;16679
Mau atendimento do SAC;12897
