Produtos ou Serviços;Qtde de Reclamações
Móveis;7409
Geladeira-Refrigerador;5869
Outro Tipo de Produto/Serviço;5424
Celular;4963
TV;4492
Lavadora de Roupas e Tanquinho;2893
Smartphone;2656
Cartões de Crédito;2292
Fogão-Forno;2180
Sofás e Estofados;2140
