Problemas;Qtde de Reclamações
Atraso na entrega;11071
Produto com defeito;9360
Mau atendimento;6850
Estorno do valor pago;5584
Cobrança indevida;4558
Outro problema;3919
Propaganda enganosa;3680
Divergência de valores;2220
Produto errado;2127
Problema com garantia estendida;1381
