Categorias;Qtde de Reclamações
Eletrodomésticos;134617
Não Encontrei meu Problema;105348
Celulares e Smartphones;90667
Móveis em Geral;82910
Eletroeletrônicos;56449
Informática;36322
Eletroportáteis;32330
Não Categorizado;23824
Utilidades Domésticas;20367
Brinquedos e Jogos;13960
