Problemas;Qtde de Reclamações
Cobrança indevida;20731
Problema com o cartão;5204
Limite;3235
Cancelamento;2870
Demora na entrega do cartão;2708
Valor abusivo;2535
Bloqueio-desbloqueio de cartão;2380
Anuidade;2074
Estono do valor pago;1975
Problemas com a senha;1878
