Desempenho;Reputação;Nota Média;Reclamações Recebidas;Reclamações Respondidas;Aguardando Resposta;Reclamações Resolvidas;Voltariam a fazer negócio;Reclamações Avaliadas;Nota média do consumidor;Tempo médio de Resposta;Período  considerado
2024;ÓTIMA;8,2;115509;0,982;894;0,895;0,743;68373;6,97;12 dias e 5 horas;01/01/2024 a 31/12/2024
2025;RA1000;8,3;119680;0,979;986;0,902;0,744;71355;7,03;12 dias;01/01/2025 a 31/12/2025
2026;RA1000;8,3;59561;0,95;726;0,909;0,748;32539;7,1;13 dias e 12 horas;01/02/2026 a 31/07/2026
Geral;ÓTIMA;8,2;372332;0,97;3025;0,901;0,741;214214;6,99;11 dias e 23 horas;01/09/2023 a 31/08/2026
