Produtos ou Serviços;Qtde de Reclamações
Consórcio;3150
Canais de Atendimento;80
Outro Tipo de Produto/Serviço;52
Financeiras;41
Equipe de Atendimento;40
Cadastro e Assinatura;35
Móveis;7
Motos;6
Propaganda Enganosa;6
Celular;4
